25.11.2024 22:52:46 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 22:52:46 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 22:52:46 | [INFO]    | Загружено 3000 водителей
25.11.2024 22:52:47 | [INFO]    | Загружено 3000 поездок
25.11.2024 22:52:47 | [INFO]    | Все данные успешно загружены
25.11.2024 22:52:47 | [INFO]    | Вывод данных в консоль
25.11.2024 22:52:48 | [INFO]    | Вывод автомобилей в консоль
25.11.2024 22:52:48 | [INFO]    | Вывод водителей в консоль
25.11.2024 22:52:48 | [INFO]    | Вывод поездок в консоль
25.11.2024 22:53:12 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 22:53:12 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 22:53:12 | [INFO]    | Загружено 3000 водителей
25.11.2024 22:53:12 | [INFO]    | Загружено 3000 поездок
25.11.2024 22:53:12 | [INFO]    | Все данные успешно загружены
25.11.2024 22:53:14 | [INFO]    | Вывод данных в консоль
25.11.2024 22:53:14 | [INFO]    | Вывод автомобилей в консоль
25.11.2024 22:53:14 | [INFO]    | Вывод водителей в консоль
25.11.2024 22:53:14 | [INFO]    | Вывод поездок в консоль
25.11.2024 23:33:19 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 23:33:19 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 23:33:19 | [INFO]    | Загружено 3000 водителей
25.11.2024 23:33:19 | [INFO]    | Загружено 3000 поездок
25.11.2024 23:33:19 | [INFO]    | Все данные успешно загружены
25.11.2024 23:34:29 | [INFO]    | Корректировка строки с id 2 в листе Автомобили в файле LR5-var4.xls
25.11.2024 23:34:29 | [ERROR]   | Ошибка при корректировке строки с id 2 в листе Автомобили в файле LR5-var4.xls: Not a numeric value in Cell Автомобили!A1
25.11.2024 23:39:42 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 23:39:42 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 23:39:42 | [INFO]    | Загружено 3000 водителей
25.11.2024 23:39:42 | [INFO]    | Загружено 3000 поездок
25.11.2024 23:39:42 | [INFO]    | Все данные успешно загружены
25.11.2024 23:40:08 | [INFO]    | Корректировка строки с id 2 в листе Автомобили в файле LR5-var4.xls
25.11.2024 23:40:08 | [ERROR]   | Ошибка при корректировке строки с id 2 в листе Автомобили в файле LR5-var4.xls: Not a numeric value in Cell Автомобили!A1
25.11.2024 23:54:51 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 23:54:51 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 23:54:51 | [INFO]    | Загружено 3000 водителей
25.11.2024 23:54:51 | [INFO]    | Загружено 3000 поездок
25.11.2024 23:54:51 | [INFO]    | Все данные успешно загружены
25.11.2024 23:56:03 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 23:56:03 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 23:56:03 | [INFO]    | Загружено 3000 водителей
25.11.2024 23:56:03 | [INFO]    | Загружено 3000 поездок
25.11.2024 23:56:03 | [INFO]    | Все данные успешно загружены
25.11.2024 23:56:39 | [INFO]    | Корректировка строки с id 2 в листе Автомобили в файле LR5-var4.xls
25.11.2024 23:56:39 | [ERROR]   | Ошибка при корректировке строки с id 2 в листе Автомобили в файле LR5-var4.xls: Not a numeric value in Cell Автомобили!A1
25.11.2024 23:58:17 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 23:58:17 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 23:58:17 | [INFO]    | Загружено 3000 водителей
25.11.2024 23:58:17 | [INFO]    | Загружено 3000 поездок
25.11.2024 23:58:17 | [INFO]    | Все данные успешно загружены
25.11.2024 23:58:42 | [INFO]    | Корректировка строки с id 2 в листе Автомобили в файле LR5-var4.xls
25.11.2024 23:58:42 | [INFO]    | Строка с id 2 успешно изменена в листе Автомобили в файле LR5-var4.xls
25.11.2024 23:58:42 | [ERROR]   | Ошибка при корректировке строки с id 2 в листе Автомобили в файле LR5-var4.xls: The process cannot access the file 'C:\Users\drank\RiderProjects\labsSharp\lab5\bin\Debug\net8.0\LR5-var4.xls' because it is being used by another process.
25.11.2024 23:58:58 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 23:58:58 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 23:58:58 | [INFO]    | Загружено 3000 водителей
25.11.2024 23:58:58 | [INFO]    | Загружено 3000 поездок
25.11.2024 23:58:58 | [INFO]    | Все данные успешно загружены
25.11.2024 23:59:16 | [INFO]    | Корректировка строки с id 2 в листе Автомобили в файле LR5-var4.xls
25.11.2024 23:59:16 | [INFO]    | Строка с id 2 успешно изменена в листе Автомобили в файле LR5-var4.xls
25.11.2024 23:59:16 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
25.11.2024 23:59:16 | [INFO]    | Загружено 2999 автомобилей
25.11.2024 23:59:16 | [INFO]    | Загружено 3000 водителей
25.11.2024 23:59:16 | [INFO]    | Загружено 3000 поездок
25.11.2024 23:59:16 | [INFO]    | Все данные успешно загружены
26.11.2024 0:05:31 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
26.11.2024 0:05:31 | [INFO]    | Загружено 2999 автомобилей
26.11.2024 0:05:31 | [INFO]    | Загружено 3000 водителей
26.11.2024 0:05:31 | [INFO]    | Загружено 3000 поездок
26.11.2024 0:05:31 | [INFO]    | Все данные успешно загружены
26.11.2024 0:06:04 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
26.11.2024 0:06:04 | [INFO]    | Загружено 2999 автомобилей
26.11.2024 0:06:04 | [INFO]    | Загружено 3000 водителей
26.11.2024 0:06:04 | [INFO]    | Загружено 3000 поездок
26.11.2024 0:06:04 | [INFO]    | Все данные успешно загружены
26.11.2024 0:07:30 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
26.11.2024 0:07:30 | [INFO]    | Загружено 2999 автомобилей
26.11.2024 0:07:30 | [INFO]    | Загружено 3000 водителей
26.11.2024 0:07:30 | [INFO]    | Загружено 3000 поездок
26.11.2024 0:07:30 | [INFO]    | Все данные успешно загружены
26.11.2024 0:08:05 | [INFO]    | Корректировка строки с id 2 в листе Автомобили в файле LR5-var4.xls
26.11.2024 0:08:05 | [INFO]    | Строка с id 2 успешно изменена в листе Автомобили в файле LR5-var4.xls
26.11.2024 0:08:05 | [ERROR]   | Ошибка при корректировке строки с id 2 в листе Автомобили в файле LR5-var4.xls: The process cannot access the file 'C:\Users\drank\RiderProjects\labsSharp\lab5\bin\Debug\net8.0\LR5-var4.xls' because it is being used by another process.
26.11.2024 0:08:30 | [INFO]    | Корректировка строки с id 2 в листе Автомобили в файле LR5-var4.xls
26.11.2024 0:08:30 | [INFO]    | Строка с id 2 успешно изменена в листе Автомобили в файле LR5-var4.xls
26.11.2024 0:08:30 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
26.11.2024 0:08:30 | [INFO]    | Загружено 2999 автомобилей
26.11.2024 0:08:30 | [INFO]    | Загружено 3000 водителей
26.11.2024 0:08:30 | [INFO]    | Загружено 3000 поездок
26.11.2024 0:08:30 | [INFO]    | Все данные успешно загружены
26.11.2024 0:11:16 | [INFO]    | Загрузка данных из Excel файла: LR5-var4.xls
26.11.2024 0:11:16 | [INFO]    | Загружено 2999 автомобилей
26.11.2024 0:11:16 | [INFO]    | Загружено 3000 водителей
